Part Number,Title,Body (HTML),Features,Vendor,Main Category,Category,Platform,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Weight,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Height,Length,Width
XSB005,,,,,,,,,,,Black Hammertone,,,XSB005H,31,TRUE,100,continue,manual,639.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/XSB005_image1_large.jpg,2,"XSB005H - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image1_large.jpg,lb,,13.0in,49.0in,13.0in
XSB005,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image2_large.jpg,,"BMR Suspension XSB005 - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",,,13.0in,49.0in,13.0in,XSB005,13.0in,49.0in,13.0in,,,,,,,,,,,,,,,,,,,,,,,,
XSB005,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image3_large.jpg,,"BMR Suspension XSB005 - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",,,13.0in,49.0in,13.0in,XSB005,13.0in,49.0in,13.0in,,,,,,,,,,,,,,,,,,,,,,,,
XSB005,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image4_large.jpg,,"BMR Suspension XSB005 - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",,,13.0in,49.0in,13.0in,XSB005,13.0in,49.0in,13.0in,,,,,,,,,,,,,,,,,,,,,,,,
XSB005,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image5_large.jpg,,"BMR Suspension XSB005 - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",,,13.0in,49.0in,13.0in,XSB005,13.0in,49.0in,13.0in,,,,,,,,,,,,,,,,,,,,,,,,
XSB005,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image6_large.jpg,,"BMR Suspension XSB005 - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",,,13.0in,49.0in,13.0in,XSB005,13.0in,49.0in,13.0in,,,,,,,,,,,,,,,,,,,,,,,,
XSB005,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/XSB005_image7_large.jpg,,"BMR Suspension XSB005 - Xtreme Anti-roll Bar Kit, Rear, Hollow 35mm",,,13.0in,49.0in,13.0in,XSB005,13.0in,49.0in,13.0in,,,,,,,,,,,,,,,,,,,,,,,,
RS002,Radiator Support,"Lightening the front end of your 2005-2014 Mustang is easy with a radiator support from BMR Suspension. If you are drag racing your S197 Mustang and don't need a front sway bar, our Radiator Support can save an additional 11 pounds off the front end of the car. The factory radiator support is built overly strong because it must also support the additional loads of the front sway bar. With the swaybar removed, the crossmember only needs to support the weight of the radiator. Our lightweight crossmember only weighs 5.5 pounds as compared the OE 16.5 pounds Combined with sway bar removal, expect a 26.5-pound. weight reduction!<br> <br> BMR designed the RS002 Radiator Support for street performance and drag race applications where a front sway bar is not used. This is a direct replacement for the factory S197 radiator support. Reducing front weight can help improve performance and front weight percentage. The RS002 is 100-percent bolt-on and requires no fabrication or modifications. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's RS002 Radiator Support is available in black hammertone or red powdercoat for long-lasting good looks. Installation time is 1-2 hours. Proudly made in the U.S.A.<br> <br>",- Fits 2005-2014 Ford Mustang<br>- Eliminates the front sway bar<br>- Reduces weight<br>- Simple bolt-on installation<br>- Durable powdercoat or polished stainless steel finish<br>- Proudly designed in the U.S.A.<br>- Proudly built in the U.S.A.<br>,BMR Suspension,Chassis,Radiator Supports,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Radiator Supports, RS002, Free Shipping, Made in the USA",TRUE,Color,Red,,,RS002R,8,TRUE,100,continue,manual,119.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/RS002_large.jpg,1,RS002R - Radiator Support,FALSE,Radiator Support,"Lightening the front end of your 2005-2014 Mustang is easy with a radiator support from BMR Suspension. If you are drag racing your S197 Mustang and don't need a front sway bar, our Radiator Support can save an additional 11 pounds off the front end of the car. The factory radiator support is built overly strong because it must also support the additional loads of the front sway bar. With the swaybar removed, the crossmember only needs to support the weight of the radiator. Our lightweight crossmember only weighs 5.5 pounds as compared the OE 16.5 pounds Combined with sway bar removal, expect a 26.5-pound. weight reduction!

BMR designed the RS002 Radiator Support for street performance and drag race applications where a front sway bar is not used. This is a direct replacement for the factory S197 radiator support. Reducing front weight can help improve performance and front weight percentage. The RS002 is 100-percent bolt-on and requires no fabrication or modifications. When performance is a must, rely on BMR Suspension!

BMR Suspension's RS002 Radiator Support is available in black hammertone or red powdercoat for long-lasting good looks. Installation time is 1-2 hours. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,RS002R,"BMR Suspension, 2005-2014 Mustang, Chassis, Radiator Supports, RS002, Free Shipping, Made in the USA",Radiator Support,New,,,,,,,https://bmrsuspension.com/siteart/products/RS002_large.jpg,lb,,8.0in,40.0in,10.0in
RS002,,,,,,,,,,,Black Hammertone,,,RS002H,8,TRUE,100,continue,manual,119.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/RS002_image1_large.jpg,2,RS002H - Radiator Support,FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/RS002_image1_large.jpg,lb,,8.0in,40.0in,10.0in
SFC011,"Subframe Connectors, Weld-on, Boxed","Reduce chassis flex and increase handling and performance on your 2005-2014 Mustang with weld-in sub-frame connectors from BMR Suspension. BMR's Mustang sub-frame connectors are manufactured from heavy-duty square and rectangular steel tubing, with laser-cut CNC-formed 3/16-inch steel plate, adding loads of strength in all the right places. These sub-frame connectors are engineered to considerably strengthen the chassis. The SFC011s connect the front and rear sub-frames by connecting to the rear lower control arm mounts, dramatically strengthening the chassis. <br> <br> BMR has designed the SFC011 for the street performance, drag race, and handling applications. This design attaches to five points, solidly links the front and rear subframe, reducing chassis deflection. This chassis deflection can also cause damage to the car causing windshields to break or doors to not close correctly. These subframe connectors add strength and rigidity, but also reduces squeaks and rattles commonly found in Mustangs. Simply weld them to the chassis and you've taken your performance to the next level. The tight, compact design gives you plenty of ground clearance for lowered vehicles without modifications to the floor pan. The rectangular-tube design also gives you a safe and secure place to jack the car up, eliminating damage to the pinch welds, subframe, and floor pan. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's SFC011 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 2-3 hours. Proudly made in the U.S.A.<br>","- Fits 2005-2014 Ford Mustangs<br>- Dramatically increases chassis stiffness and improves handling <br>- Manufactured from square and rectangular steel tubing<br>- Uses 3/16- and Â¼-inch laser-cut, CNC-formed steel plate<br>- Weld-in design<br>- Five attachment points for great chassis stiffening<br>- Fully MIG-welded<br>- Designed for street performance, drag race, and handling applications<br>- Proudly designed and made in the U.S.A.<br>",BMR Suspension,Chassis,Sub Frame Connectors,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Sub Frame Connectors, SFC011, Free Shipping, Made in the USA",TRUE,Color,Red,,,SFC011R,41,TRUE,100,continue,manual,489.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/SFC011_large.jpg,1,"SFC011R - Subframe Connectors, Weld-on, Boxed",FALSE,"Subframe Connectors, Weld-on, Boxed","Reduce chassis flex and increase handling and performance on your 2005-2014 Mustang with weld-in sub-frame connectors from BMR Suspension. BMR's Mustang sub-frame connectors are manufactured from heavy-duty square and rectangular steel tubing, with laser-cut CNC-formed 3/16-inch steel plate, adding loads of strength in all the right places. These sub-frame connectors are engineered to considerably strengthen the chassis. The SFC011s connect the front and rear sub-frames by connecting to the rear lower control arm mounts, dramatically strengthening the chassis.

BMR has designed the SFC011 for the street performance, drag race, and handling applications. This design attaches to five points, solidly links the front and rear subframe, reducing chassis deflection. This chassis deflection can also cause damage to the car causing windshields to break or doors to not close correctly. These subframe connectors add strength and rigidity, but also reduces squeaks and rattles commonly found in Mustangs. Simply weld them to the chassis and you've taken your performance to the next level. The tight, compact design gives you plenty of ground clearance for lowered vehicles without modifications to the floor pan. The rectangular-tube design also gives you a safe and secure place to jack the car up, eliminating damage to the pinch welds, subframe, and floor pan. When performance is a must, rely on BMR Suspension!

BMR Suspension's SFC011 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 2-3 hours. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,SFC011R,"BMR Suspension, 2005-2014 Mustang, Chassis, Sub Frame Connectors, SFC011, Free Shipping, Made in the USA","Subframe Connectors, Weld-on, Boxed",New,,,,,,,https://bmrsuspension.com/siteart/products/SFC011_large.jpg,lb,,5.0in,66.0in,14.0in
SFC011,,,,,,,,,,,Black Hammertone,,,SFC011H,41,TRUE,100,continue,manual,489.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/SFC011_image1_large.jpg,2,"SFC011H - Subframe Connectors, Weld-on, Boxed",FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/SFC011_image1_large.jpg,lb,,5.0in,66.0in,14.0in
SFC011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/SFC011_image2_large.jpg,,"BMR Suspension SFC011 - Subframe Connectors, Weld-on, Boxed",,,5.0in,66.0in,14.0in,SFC011,5.0in,66.0in,14.0in,,,,,,,,,,,,,,,,,,,,,,,,
SFC012,"Subframe Connectors, Weld-on, Tubular","Reduce chassis flex and increase handling and performance on your 2005-2014 Mustang with tubular weld-in sub-frame connectors from BMR Suspension. The S197chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Mustang sub-frame connectors are manufactured from heavy-duty steel tubing, with laser-cut CNC-formed 3/16-inch steel plate, adding loads of strength in all the right places. These sub-frame connectors are engineered to considerably strengthen the chassis. The SFC012s connect the front and rear sub-frames, dramatically strengthening the chassis. <br> <br> BMR has designed the SFC012 for the street performance, drag race, and handling applications. This design attaches to two points, solidly links the front and rear subframe, reducing chassis deflection. This chassis deflection can also cause damage to the car causing windshields to break or doors to not close correctly. These subframe connectors add strength and rigidity, but also reduces squeaks and rattles commonly found in Mustangs. Simply weld them to the chassis and you've taken your performance to the next level. The tight, compact design gives you plenty of ground clearance for lowered vehicles without modifications to the floor pan. The rectangular-tube design also gives you a safe and secure place to jack the car up, eliminating damage to the pinch welds, subframe, and floor pan. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's SFC012 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 2-3 hours. Proudly made in the U.S.A.<br> <br> NOTE: Fits v8 and v6 models. Will also fit convertibles if rear bracing is removed.","- Fits 2005-2014 Ford Mustangs<br>- Dramatically increases chassis stiffness and improves handling <br>- Manufactured from steel tubing<br>- Uses 3/16-inch laser-cut, CNC-formed steel plate<br>- Weld-in design<br>- Two attachment points for great chassis stiffening<br>- Fully MIG-welded<br>- Designed for street performance, drag race, and handling applications<br>- Proudly designed and made in the U.S.A.<br>",BMR Suspension,Chassis,Sub Frame Connectors,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Sub Frame Connectors, SFC012, Free Shipping, Made in the USA",TRUE,Color,Red,,,SFC012R,26,TRUE,100,continue,manual,179.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/SFC012_large.jpg,1,"SFC012R - Subframe Connectors, Weld-on, Tubular",FALSE,"Subframe Connectors, Weld-on, Tubular","Reduce chassis flex and increase handling and performance on your 2005-2014 Mustang with tubular weld-in sub-frame connectors from BMR Suspension. The S197chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Mustang sub-frame connectors are manufactured from heavy-duty steel tubing, with laser-cut CNC-formed 3/16-inch steel plate, adding loads of strength in all the right places. These sub-frame connectors are engineered to considerably strengthen the chassis. The SFC012s connect the front and rear sub-frames, dramatically strengthening the chassis.

BMR has designed the SFC012 for the street performance, drag race, and handling applications. This design attaches to two points, solidly links the front and rear subframe, reducing chassis deflection. This chassis deflection can also cause damage to the car causing windshields to break or doors to not close correctly. These subframe connectors add strength and rigidity, but also reduces squeaks and rattles commonly found in Mustangs. Simply weld them to the chassis and you've taken your performance to the next level. The tight, compact design gives you plenty of ground clearance for lowered vehicles without modifications to the floor pan. The rectangular-tube design also gives you a safe and secure place to jack the car up, eliminating damage to the pinch welds, subframe, and floor pan. When performance is a must, rely on BMR Suspension!

BMR Suspension's SFC012 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is about 2-3 hours. Proudly made in the U.S.A.

NOTE: Fits v8 and v6 models. Will also fit convertibles if rear bracing is removed.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,SFC012R,"BMR Suspension, 2005-2014 Mustang, Chassis, Sub Frame Connectors, SFC012, Free Shipping, Made in the USA","Subframe Connectors, Weld-on, Tubular",New,,,,,,,https://bmrsuspension.com/siteart/products/SFC012_large.jpg,lb,,5.0in,65.0in,14.0in
SFC012,,,,,,,,,,,Black Hammertone,,,SFC012H,26,TRUE,100,continue,manual,179.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/SFC012_image1_large.jpg,2,"SFC012H - Subframe Connectors, Weld-on, Tubular",FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/SFC012_image1_large.jpg,lb,,5.0in,65.0in,14.0in
STB009,"Strut Tower Brace, V-8 Without Plenum Cover","Reduce chassis flex and increase handling and performance on your 2005-2014 Ford Mustang GT (w/ Premium engine cover) with a Strut Tower Brace from BMR Suspension. The Mustang chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Strut Tower Braces are manufactured from a mix 1 5/8-inch DOM steel tubing and laser-cut 3/16-inch steel plate. This design adds loads of strength to the front frame and suspension. These Strut Tower Braces are engineered to considerably strengthen the chassis. The STB009 connects the strut mounts to reinforce unibody and suspension.<br> <br> BMR has designed the STB009 for the street performance, drag race, and handling applications. This two-point design solidly links the front strut towers, added strength to the entire front unibody and suspension. BMR's STB009 Strut Tower Brace is 100% bolt-in. This means they can be easily installed with simple hand tools, and no welding is required. When performance is a must, rely on BMR Suspension!<br> <br> ***NOTE: This strut tower brace will not work with positive displacement blowers.***<br> <br> BMR Suspension's STB009 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is less than 1 hour. Proudly made in the U.S.A.<br>","- Fits 2005-2014 Ford Mustang GT (w/ Premium engine cover)<br>- Dramatically increases chassis stiffness and improves handling <br>- Manufactured from 1 5/8-inch DOM steel tubing<br>- Uses 3/16-inch laser-cut steel plate<br>- 100% bolt-in design<br>- Designed for street performance, drag race, and handling applications<br>- Proudly designed and made in the U.S.A.<br>",BMR Suspension,Chassis,Strut Tower Braces,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Strut Tower Braces, STB009, Free Shipping, Made in the USA",TRUE,Color,Red,,,STB009R,12,TRUE,100,continue,manual,349.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/STB009_large.jpg,1,"STB009R - Strut Tower Brace, V-8 Without Plenum Cover",FALSE,"Strut Tower Brace, V-8 Without Plenum Cover","Reduce chassis flex and increase handling and performance on your 2005-2014 Ford Mustang GT (w/ Premium engine cover) with a Strut Tower Brace from BMR Suspension. The Mustang chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Strut Tower Braces are manufactured from a mix 1 5/8-inch DOM steel tubing and laser-cut 3/16-inch steel plate. This design adds loads of strength to the front frame and suspension. These Strut Tower Braces are engineered to considerably strengthen the chassis. The STB009 connects the strut mounts to reinforce unibody and suspension.

BMR has designed the STB009 for the street performance, drag race, and handling applications. This two-point design solidly links the front strut towers, added strength to the entire front unibody and suspension. BMR's STB009 Strut Tower Brace is 100% bolt-in. This means they can be easily installed with simple hand tools, and no welding is required. When performance is a must, rely on BMR Suspension!

***NOTE: This strut tower brace will not work with positive displacement blowers.***

BMR Suspension's STB009 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is less than 1 hour. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,STB009R,"BMR Suspension, 2005-2014 Mustang, Chassis, Strut Tower Braces, STB009, Free Shipping, Made in the USA","Strut Tower Brace, V-8 Without Plenum Cover",New,,,,,,,https://bmrsuspension.com/siteart/products/STB009_large.jpg,lb,,6.0in,47.0in,14.0in
STB009,,,,,,,,,,,Black Hammertone,,,STB009H,12,TRUE,100,continue,manual,349.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/STB009_image1_large.jpg,2,"STB009H - Strut Tower Brace, V-8 Without Plenum Cover",FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB009_image1_large.jpg,lb,,6.0in,47.0in,14.0in
STB010,"Strut Tower Brace, V-6","Reduce chassis flex and increase handling and performance on your 2005-2010 V6 Ford Mustang with a Strut Tower Brace from BMR Suspension. The Mustang chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Strut Tower Braces are manufactured from a mix 1 5/8-inch DOM steel tubing and laser-cut 3/16-inch steel plate. This design adds loads of strength to the front frame and suspension. These Strut Tower Braces are engineered to considerably strengthen the chassis. The STB010 connects the strut mounts to reinforce unibody and suspension.<br> <br> BMR has designed the STB010 for the street performance, drag race, and handling applications. This two-point design solidly links the front strut towers, added strength to the entire front unibody and suspension. BMR's STB010 Strut Tower Brace is 100% bolt-in. This means they can be easily installed with simple hand tools, and no welding is required. When performance is a must, rely on BMR Suspension!<br> <br> BMR Suspension's STB010 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is less than 1 hour. Proudly made in the U.S.A.<br>","- Fits 2005-2010 V6 Ford Mustang <br>- Dramatically increases chassis stiffness and improves handling <br>- Manufactured from 1 5/8-inch DOM steel tubing<br>- Uses 3/16-inch laser-cut steel plate<br>- 100% bolt-in design<br>- Designed for street performance, drag race, and handling applications<br>- Proudly designed and made in the U.S.A.<br>",BMR Suspension,Chassis,Strut Tower Braces,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Strut Tower Braces, STB010, Free Shipping, Made in the USA",TRUE,Color,Red,,,STB010R,8,TRUE,100,continue,manual,119.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/STB010_large.jpg,1,"STB010R - Strut Tower Brace, V-6",FALSE,"Strut Tower Brace, V-6","Reduce chassis flex and increase handling and performance on your 2005-2010 V6 Ford Mustang with a Strut Tower Brace from BMR Suspension. The Mustang chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Strut Tower Braces are manufactured from a mix 1 5/8-inch DOM steel tubing and laser-cut 3/16-inch steel plate. This design adds loads of strength to the front frame and suspension. These Strut Tower Braces are engineered to considerably strengthen the chassis. The STB010 connects the strut mounts to reinforce unibody and suspension.

BMR has designed the STB010 for the street performance, drag race, and handling applications. This two-point design solidly links the front strut towers, added strength to the entire front unibody and suspension. BMR's STB010 Strut Tower Brace is 100% bolt-in. This means they can be easily installed with simple hand tools, and no welding is required. When performance is a must, rely on BMR Suspension!

BMR Suspension's STB010 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is less than 1 hour. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,STB010R,"BMR Suspension, 2005-2014 Mustang, Chassis, Strut Tower Braces, STB010, Free Shipping, Made in the USA","Strut Tower Brace, V-6",New,,,,,,,https://bmrsuspension.com/siteart/products/STB010_large.jpg,lb,,6.0in,47.0in,14.0in
STB010,,,,,,,,,,,Black Hammertone,,,STB010H,8,TRUE,100,continue,manual,119.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/STB010_image1_large.jpg,2,"STB010H - Strut Tower Brace, V-6",FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB010_image1_large.jpg,lb,,6.0in,47.0in,14.0in
STB010,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB010_image2_large.jpg,,"BMR Suspension STB010 - Strut Tower Brace, V-6",,,6.0in,47.0in,14.0in,STB010,6.0in,47.0in,14.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB010,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB010_image3_large.jpg,,"BMR Suspension STB010 - Strut Tower Brace, V-6",,,6.0in,47.0in,14.0in,STB010,6.0in,47.0in,14.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB010,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB010_image4_large.jpg,,"BMR Suspension STB010 - Strut Tower Brace, V-6",,,6.0in,47.0in,14.0in,STB010,6.0in,47.0in,14.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB010,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB010_image5_large.jpg,,"BMR Suspension STB010 - Strut Tower Brace, V-6",,,6.0in,47.0in,14.0in,STB010,6.0in,47.0in,14.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB011,"Strut Tower Brace, V-8 W/ Plenum Cover","Reduce chassis flex and increase handling and performance on your 2005-2014 Ford Mustang GT (w/ Premium engine cover) with a Strut Tower Brace from BMR Suspension. The Mustang chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Strut Tower Braces are manufactured from a mix 1x2-inch steel tubing and laser-cut 3/16-inch steel plate. This design adds loads of strength to the front frame and suspension. These Strut Tower Braces are engineered to considerably strengthen the chassis. The STB011 connects the strut mounts to reinforce unibody and suspension.<br> <br> BMR has designed the STB011 for the street performance, drag race, and handling applications. This two-point design solidly links the front strut towers, added strength to the entire front unibody and suspension. BMR's STB011 Strut Tower Brace is 100% bolt-in. This means they can be easily installed with simple hand tools, and no welding is required. When performance is a must, rely on BMR Suspension!<br> <br> ***NOTE: This Strut Tower Brace works on 2011+ V-8 Mustangs w/ Boss 302 Intake Manifold. This strut tower brace will not work with positive displacement blowers.***<br> <br> BMR Suspension's STB011 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is less than 1 hour. Proudly made in the U.S.A.<br>","- 2005-2014 Ford Mustang GT (w/ Premium engine cover)<br>- Dramatically increases chassis stiffness and improves handling <br>- Manufactured from 1x2-inch steel tubing<br>- Uses 3/16-inch laser-cut steel plate<br>- 100% bolt-in design<br>- Designed for street performance, drag race, and handling applications<br>- Proudly designed and made in the U.S.A.<br>",BMR Suspension,Chassis,Strut Tower Braces,2005-2014 Mustang,"BMR Suspension, 2005-2014 Mustang, Chassis, Strut Tower Braces, STB011, Free Shipping, Made in the USA",TRUE,Color,Red,,,STB011R,13,TRUE,100,continue,manual,129.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/STB011_large.jpg,1,"STB011R - Strut Tower Brace, V-8 W/ Plenum Cover",FALSE,"Strut Tower Brace, V-8 W/ Plenum Cover","Reduce chassis flex and increase handling and performance on your 2005-2014 Ford Mustang GT (w/ Premium engine cover) with a Strut Tower Brace from BMR Suspension. The Mustang chassis flexes dramatically, even with mild amounts of torque and horsepower. BMR's Strut Tower Braces are manufactured from a mix 1x2-inch steel tubing and laser-cut 3/16-inch steel plate. This design adds loads of strength to the front frame and suspension. These Strut Tower Braces are engineered to considerably strengthen the chassis. The STB011 connects the strut mounts to reinforce unibody and suspension.

BMR has designed the STB011 for the street performance, drag race, and handling applications. This two-point design solidly links the front strut towers, added strength to the entire front unibody and suspension. BMR's STB011 Strut Tower Brace is 100% bolt-in. This means they can be easily installed with simple hand tools, and no welding is required. When performance is a must, rely on BMR Suspension!

***NOTE: This Strut Tower Brace works on 2011+ V-8 Mustangs w/ Boss 302 Intake Manifold. This strut tower brace will not work with positive displacement blowers.***

BMR Suspension's STB011 are available in black hammertone and red powdercoat for long-lasting good looks. Installation time is less than 1 hour. Proudly made in the U.S.A.",Auto Parts & Accessories > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Suspension Parts,Unisex,Adult,STB011R,"BMR Suspension, 2005-2014 Mustang, Chassis, Strut Tower Braces, STB011, Free Shipping, Made in the USA","Strut Tower Brace, V-8 W/ Plenum Cover",New,,,,,,,https://bmrsuspension.com/siteart/products/STB011_large.jpg,lb,,5.0in,45.0in,11.0in
STB011,,,,,,,,,,,Black Hammertone,,,STB011H,13,TRUE,100,continue,manual,129.95,,TRUE,TRUE,,https://bmrsuspension.com/siteart/products/STB011_image1_large.jpg,2,"STB011H - Strut Tower Brace, V-8 W/ Plenum Cover",FALSE,,,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image1_large.jpg,lb,,5.0in,45.0in,11.0in
STB011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image2_large.jpg,,"BMR Suspension STB011 - Strut Tower Brace, V-8 W/ Plenum Cover",,,5.0in,45.0in,11.0in,STB011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image3_large.jpg,,"BMR Suspension STB011 - Strut Tower Brace, V-8 W/ Plenum Cover",,,5.0in,45.0in,11.0in,STB011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image4_large.jpg,,"BMR Suspension STB011 - Strut Tower Brace, V-8 W/ Plenum Cover",,,5.0in,45.0in,11.0in,STB011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image5_large.jpg,,"BMR Suspension STB011 - Strut Tower Brace, V-8 W/ Plenum Cover",,,5.0in,45.0in,11.0in,STB011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image6_large.jpg,,"BMR Suspension STB011 - Strut Tower Brace, V-8 W/ Plenum Cover",,,5.0in,45.0in,11.0in,STB011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
STB011,,,,,,,,,,,,,,https://bmrsuspension.com/siteart/products/STB011_image7_large.jpg,,"BMR Suspension STB011 - Strut Tower Brace, V-8 W/ Plenum Cover",,,5.0in,45.0in,11.0in,STB011,5.0in,45.0in,11.0in,,,,,,,,,,,,,,,,,,,,,,,,
